,PDB code,Resolution (A),Bnet
0,6Q5R,1.61,173.3585737
1,7UDY,2.4,143.8190189
2,12KI,2.8,70.10437016
3,6BKL,2,59.16190744
4,5WUC,1.6,58.88781088
5,8OYF,2.1,40.2631853
6,8VMT,1.48,36.26615299
7,7A2V,1.81,24.03928486
8,7UDX,2.99,22.09593978
9,4Y91,2.66,21.54415404
10,5FXL,1.78,18.26093895
11,8VMQ,1.48,17.92486298
12,4Z9E,2.49,17.38045159
13,8VNT,1.62,17.13019891
14,7JVD,2.3,17.11746915
15,8TFD,1.55,16.71280073
16,7DMS,1.96,16.6779497
17,5ISI,2.74,16.29901064
18,5KBW,2.61,16.26932869
19,5EOJ,2.12,16.19837313
20,6M31,2.3,16.0442993
21,8AXO,1.29,15.61856873
22,2C0H,1.6,15.57724199
23,3AGN,0.96,15.29723368
24,7U4R,3.14,15.24269395
25,6SSS,2.5,15.21792013
26,7ZWO,1.39,15.15206075
27,7EPE,2.5,15.05978602
28,8VMV,1.59,14.86653996
29,6MC1,2.7,14.79557139
30,8UOS,1.96,14.76838693
31,2HEW,1.45,14.72502665
32,8VMU,1.52,14.66966876
33,3TOE,2.2,14.57864881
34,5MH0,1.24,14.34857478
35,3P0S,3.1,14.20449067
36,7PZ0,1.2,14.10359083
37,5AI1,2.1,14.08541003
38,5VKR,1.8,13.93148931
39,7BPU,3.32,13.80612414
40,6JK3,1.12,13.59454661
41,8VNA,1.54,13.5141362
42,7CZJ,1.5,13.4656501
43,4Y4Y,3,13.41443493
44,4RSO,3.5,13.2986347
45,3X3B,2.3,13.13175234
46,9BDI,2.07,13.06330022
47,2OH6,2.1,13.05595483
48,3GHF,2.2,12.90408754
49,4YS3,3,12.76388109
50,2H5F,1.9,12.74555999
51,1U4G,1.4,12.71194893
52,8VHS,1.36,12.66061939
53,3A07,1.19,12.63465498
54,3ZZP,0.96,12.4233003
55,2XMK,1.35,12.36924421
56,1G12,1.6,12.36006467
57,1H7K,2.4,12.08483128
58,2EWK,1,12.00796103
59,5D5U,2.91,11.89028512
60,4QAB,2.98,11.88681798
61,2GTY,1.3,11.81915919
62,8F43,1.37,11.81280824
63,3V8A,2.3,11.76323146
64,8FM6,2.85,11.72927568
65,9AVT,1.5,11.55426732
66,8VNF,1.5,11.44845634
67,4DVE,2.09,11.44798411
68,2OB0,1.8,11.33603306
69,6UGA,2.5,11.31479611
70,6HFG,2.5,11.20621757
71,5GOD,1.15,11.06302934
72,8DA1,2.67,11.03765653
73,5IPD,1.75,10.8897855
74,7D6L,1.95,10.86343362
75,2FPF,3,10.81287416
76,4OUU,2.6,10.79126949
77,4IBJ,1.54,10.75595666
78,5GQM,1.68,10.73413281
79,5G28,1.57,10.64821834
80,5GQL,1.78,10.59858467
81,5MP7,2.4,10.50096018
82,2EHJ,2.8,10.4511426
83,8VNM,1.59,10.40421159
84,6SF3,2.3,10.39377031
85,3G1P,1.4,10.32742031
86,5YHA,1.58,10.30365885
87,6MSQ,1.28,10.297686
88,7LDW,2.5,10.28440191
89,5UWZ,1.25,10.25410666
90,4CNY,1.2,10.19573197
91,8AQ4,2.62,10.1818386
92,7DZU,2.4,10.16579181
93,3FOJ,1.6,10.1126389
94,8JFS,1,10.10571987
95,7AI3,2.9,10.09724026
96,7PXN,1.65,10.09443295
97,6XL3,2.33,10.08671063
